,huc6,total_crop_failure,mean,Cropland in summer fallow
0,180102,16691,0.3149583048133497,14719
1,180102,8883,0.3149583048133497,11783
2,180200,2845,1.0216718205884894,4617
3,180200,5099,1.0216718205884894,8566
4,180201,65767,0.3160286881286531,160092
5,180201,28973,0.3160286881286531,96379
6,180300,52461,0.8331008604392374,138739
7,180300,41691,0.8331008604392374,131226
8,180400,26411,0.7523415617516348,87196
9,180400,19250,0.7523415617516348,41708
10,180500,3079,0.1607692203242395,14325
11,180500,2828,0.1607692203242395,8071
12,180600,13351,1.2346245288138211,39835
13,180600,14574,1.2346245288138211,40157
14,180701,2743,1.6695002472573344,5077
15,180701,2405,1.6695002472573344,5444
16,180702,3424,1.441112013247831,986
17,180702,1835,1.441112013247831,(D)
18,180703,4759,1.3002946045729828,2774
19,180703,4261,1.3002946045729828,3064
20,180800,5076,0.4636549045543926,3095
21,180800,13554,0.4636549045543926,4336
22,180901,-,0.4773149810118923,(D)
23,180901,(D),0.4773149810118923,(D)
24,180902,(D),1.03306724434711,3157
25,180902,61,1.03306724434711,3031
26,181001,(D),0.7616166009015098,(D)
27,181001,(D),0.7616166009015098,(D)
28,181002,5132,0.7911325406347006,11809
29,181002,732,0.7911325406347006,10512
